n,P_params,log_1_over_delta,logN,ratio_logN_over_log3n
64,39504,2.0,542966.9398778548,3954.63431628015
256,46088,2.0,761244.4988880843,2714.9378485008524
1024,52672,2.0,1016031.5061927673,2036.3190349080269
4096,65840,2.0,1452586.6242132264,1795.5876861304973
65536,85592,2.0,2362985.439305089,1337.038456324427
64,39504,8.0,779990.9398778548,5680.970075125522
256,46088,8.0,1037772.4988880843,3701.160191607226
1024,52672,8.0,1332063.5061927673,2669.706851444847
4096,65840,8.0,1847626.6242132264,2283.9089660494765
65536,85592,8.0,2876537.4393050885,1627.6194992293083
