alpha,d,n,mse,sem,mode,rate_r,slope
0.5,1,32,0.03749313644268235,0.0009242312446841967,optimal,0.5,-0.5021
0.5,1,64,0.027415202937454274,0.0005904013557935797,optimal,0.5,-0.5021
0.5,1,128,0.018434773652345658,0.0003405956882243488,optimal,0.5,-0.5021
0.5,1,256,0.013347965469225637,0.0002366865094761645,optimal,0.5,-0.5021
0.5,1,512,0.009313964175821685,0.00013709544240171276,optimal,0.5,-0.5021
0.5,1,1024,0.006616069433106113,9.098537638832129e-05,optimal,0.5,-0.5021
0.5,1,2048,0.004772518583233921,6.424383430316947e-05,optimal,0.5,-0.5021
0.5,1,4096,0.0032768622400813087,4.0528146106221396e-05,optimal,0.5,-0.5021
0.5,1,32,0.1332806996024063,0.0028020204744858062,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,64,0.12217967413880096,0.0019259253228768203,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,128,0.11256471815342886,0.0014148287871858923,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,256,0.10543482721755593,0.0009008190079804932,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,512,0.09575397344835046,0.0007102738306037835,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,1024,0.08782313890203898,0.00047819844879721206,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,2048,0.08119934938709042,0.0002516776951274734,control_too_slow_bandwidth,0.5,-0.1201
0.5,1,4096,0.07412002313245972,0.0002038080240253806,control_too_slow_bandwidth,0.5,-0.1201
0.5,2,32,0.11827673319035252,0.004514672712520328,optimal,0.3333,-0.3687
0.5,2,64,0.08657072902306334,0.0026055562781511317,optimal,0.3333,-0.3687
0.5,2,128,0.06498669901210945,0.0015285847159363353,optimal,0.3333,-0.3687
0.5,2,256,0.05144691458301316,0.0010447496883742213,optimal,0.3333,-0.3687
0.5,2,512,0.03910122915643256,0.0007762994104151379,optimal,0.3333,-0.3687
0.5,2,1024,0.02970105607614843,0.0005388237525342219,optimal,0.3333,-0.3687
0.5,2,2048,0.024950786018915268,0.0004154419624683696,optimal,0.3333,-0.3687
0.5,2,4096,0.019478099342200662,0.0003114289392041541,optimal,0.3333,-0.3687
0.5,2,32,0.22294597284490578,0.004180878363768562,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,64,0.20768908381590423,0.0029083138942359336,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,128,0.19916187384338083,0.0018964258354159595,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,256,0.18712456511869927,0.0013174677614404306,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,512,0.17941287354243934,0.001122788220884984,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,1024,0.16941634445952652,0.0007349021296141876,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,2048,0.1588176284647368,0.0005340995216523332,control_too_slow_bandwidth,0.3333,-0.0793
0.5,2,4096,0.1505724722148578,0.00041752423877651045,control_too_slow_bandwidth,0.3333,-0.0793
0.5,3,32,0.5217555794292008,0.31193092440870557,optimal,0.25,-0.4713
0.5,3,64,0.5328462754687713,0.31581642656735737,optimal,0.25,-0.4713
0.5,3,128,0.1261878438477183,0.0043716049147550125,optimal,0.25,-0.4713
0.5,3,256,0.10811375578196096,0.007736028054343641,optimal,0.25,-0.4713
0.5,3,512,0.09141461422622749,0.0039694736019189394,optimal,0.25,-0.4713
0.5,3,1024,0.12103626470422417,0.027756312836546858,optimal,0.25,-0.4713
0.5,3,2048,0.06280657047023047,0.002331265576804018,optimal,0.25,-0.4713
0.5,3,4096,0.049690730234006754,0.002281864132233563,optimal,0.25,-0.4713
0.5,3,32,0.28594120695455905,0.005756166945488169,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,64,0.265266332262904,0.004331851228258144,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,128,0.2457404739383869,0.003088934470392227,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,256,0.23452483957775408,0.0022073588231710252,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,512,0.22722642986961833,0.0014441512758558313,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,1024,0.21787556325977192,0.0012127274351244426,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,2048,0.20774054270229714,0.0007831766720199187,control_too_slow_bandwidth,0.25,-0.0711
0.5,3,4096,0.19940326185460538,0.0005737078811443579,control_too_slow_bandwidth,0.25,-0.0711
1.0,1,32,0.006501020276560565,0.000231800125897766,optimal,0.6667,-0.6745
1.0,1,64,0.004363205294141474,0.00011953548134676027,optimal,0.6667,-0.6745
1.0,1,128,0.002525323133654381,6.1021416544346166e-05,optimal,0.6667,-0.6745
1.0,1,256,0.0016290514657627026,3.6121156541934263e-05,optimal,0.6667,-0.6745
1.0,1,512,0.0010096315561661366,2.177397108906016e-05,optimal,0.6667,-0.6745
1.0,1,1024,0.0006546445331125042,1.3251850926517727e-05,optimal,0.6667,-0.6745
1.0,1,2048,0.0004095895152090467,8.686177554872522e-06,optimal,0.6667,-0.6745
1.0,1,4096,0.00024630905398136913,5.070170017973563e-06,optimal,0.6667,-0.6745
1.0,1,32,0.03074760806846021,0.0012190697627722025,control_too_slow_bandwidth,0.6667,-0.1398
