d,alpha,n,L,per_block,total_params,B_magnitude,shen_n,kim
1,1.0,64,6,6584,39504,4096.0,64.0,4.0
1,1.0,128,6,6584,39504,16384.0,128.0,5.04
1,1.0,256,7,6584,46088,65536.0,256.0,6.35
1,1.0,512,8,6584,52672,262144.0,512.0,8.0
1,1.0,1024,8,6584,52672,1048576.0,1024.0,10.079
1,1.0,2048,9,6584,59256,4194304.0,2048.0,12.699
1,1.0,4096,10,6584,65840,16777216.0,4096.0,16.0
1,1.0,8192,11,6584,72424,67108864.0,8192.0,20.159
1,1.0,16384,11,6584,72424,268435456.0,16384.0,25.398
1,1.0,32768,12,6584,79008,1073741824.0,32768.0,32.0
1,1.0,65536,13,6584,85592,4294967296.0,65536.0,40.317
1,1.0,131072,13,6584,85592,17179869184.0,131072.0,50.797
1,1.0,262144,14,6584,92176,68719476736.0,262144.0,64.0
1,1.0,524288,15,6584,98760,274877906944.0,524288.0,80.635
1,1.0,1048576,15,6584,98760,1099511627776.0,1048576.0,101.594
2,2.0,64,6,30240,181440,4096.0,64.0,4.0
2,2.0,128,6,30240,181440,16384.0,128.0,5.04
2,2.0,256,7,30240,211680,65536.0,256.0,6.35
2,2.0,512,8,30240,241920,262144.0,512.0,8.0
2,2.0,1024,8,30240,241920,1048576.0,1024.0,10.079
2,2.0,2048,9,30240,272160,4194304.0,2048.0,12.699
2,2.0,4096,10,30240,302400,16777216.0,4096.0,16.0
2,2.0,8192,11,30240,332640,67108864.0,8192.0,20.159
2,2.0,16384,11,30240,332640,268435456.0,16384.0,25.398
2,2.0,32768,12,30240,362880,1073741824.0,32768.0,32.0
2,2.0,65536,13,30240,393120,4294967296.0,65536.0,40.317
2,2.0,131072,13,30240,393120,17179869184.0,131072.0,50.797
2,2.0,262144,14,30240,423360,68719476736.0,262144.0,64.0
2,2.0,524288,15,30240,453600,274877906944.0,524288.0,80.635
2,2.0,1048576,15,30240,453600,1099511627776.0,1048576.0,101.594
3,3.0,64,6,228480,1370880,4096.0,64.0,4.0
3,3.0,128,6,228480,1370880,16384.0,128.0,5.04
3,3.0,256,7,228480,1599360,65536.0,256.0,6.35
3,3.0,512,8,228480,1827840,262144.0,512.0,8.0
3,3.0,1024,8,228480,1827840,1048576.0,1024.0,10.079
3,3.0,2048,9,228480,2056320,4194304.0,2048.0,12.699
3,3.0,4096,10,228480,2284800,16777216.0,4096.0,16.0
3,3.0,8192,11,228480,2513280,67108864.0,8192.0,20.159
3,3.0,16384,11,228480,2513280,268435456.0,16384.0,25.398
3,3.0,32768,12,228480,2741760,1073741824.0,32768.0,32.0
3,3.0,65536,13,228480,2970240,4294967296.0,65536.0,40.317
3,3.0,131072,13,228480,2970240,17179869184.0,131072.0,50.797
3,3.0,262144,14,228480,3198720,68719476736.0,262144.0,64.0
3,3.0,524288,15,228480,3427200,274877906944.0,524288.0,80.635
3,3.0,1048576,15,228480,3427200,1099511627776.0,1048576.0,101.594
