alpha,d,crossover_below_1_shen,crossover_below_1_kim,ratio_shen_at_2to30,ratio_shen_at_2to48,ratio_kim_at_2to48
0.5,1,True,True,1.3500213735823592e-11,2.487112928786453e-19,4.172683082264294e-12
0.5,2,True,True,4.3200683954635407e-10,6.3670090976933e-17,6.3670090976933e-17
0.5,3,True,True,2.4437997260975707e-09,1.0187214556309312e-15,2.487112928786453e-19
1.0,1,True,True,4.2188167924448564e-13,9.715284878072022e-22,2.7346095847927315e-07
1.0,2,True,True,1.3500213735823592e-11,2.487112928786453e-19,4.172683082264294e-12
1.0,3,True,True,1.0800170988658871e-10,6.928504195635577e-18,5.376844078316355e-15
2.0,1,True,True,2.6367604952780428e-14,1.1504389248485772e-23,0.0019502005571062143
2.0,2,True,True,4.2188167924448564e-13,9.715284878072022e-22,2.7346095847927315e-07
2.0,3,True,True,3.056865763289019e-12,2.3098972553845896e-20,4.837501198182939e-10
3.0,1,True,True,8.035617616527202e-15,1.718625667799828e-24,0.08738639505734419
3.0,2,True,True,7.457884906303622e-14,6.072053048795052e-23,7.000600537069383e-05
3.0,3,True,True,4.2188167924448564e-13,9.715284878072022e-22,2.7346095847927315e-07
